# Couche française pour verbs.txt. L'allemand n'est jamais traduit : les
# formes, la rection et l'exemple restent tels quels — c'est ce qu'on apprend.
#
# =radical|sens
# verbe|sens|à l'usage|traduction de l'exemple

=nehmen|prendre
aufwachsen|grandir (enfance)|« ich bin auf dem Land aufgewachsen » = j'ai grandi à la campagne|Elle a grandi à Berlin.
anwachsen|croître, s'accroître ; prendre racine|« die Zahl wächst an » — statistiques|La dette augmente.
verwachsen|se souder, cicatriser ; s'attacher profondément à quelque chose|« mit der Stadt verwachsen sein » = être profondément attaché à la ville|La cicatrice a bien guéri.
zuwachsen|se refermer (blessure) ; se couvrir de végétation|« der Weg ist zugewachsen » = le chemin est envahi par la végétation|Le jardin est envahi par les mauvaises herbes.
herauswachsen|devenir trop grand pour (vêtement, habitude)|« aus den Schuhen herauswachsen » = ne plus rentrer dans ses chaussures|Il ne rentre plus dans cette veste.

=weisen|indiquer
weisen|indiquer, montrer le chemin|littéraire ; « in die Schranken weisen » = remettre quelqu'un à sa place|Il nous a indiqué le chemin.
beweisen|prouver|« das musst du erst mal beweisen » = ça reste à prouver|Tu peux le prouver ?
verweisen|renvoyer (auf +A) ; exclure, expulser|« auf die Website verweisen » — style officiel|Je vous renvoie au troisième point.
hinweisen|signaler, attirer l'attention (auf +A)|« ich möchte darauf hinweisen, dass… » — mise en garde officielle|Il a signalé le risque.
zuweisen|attribuer, affecter|« Aufgaben zuweisen » — gestion de projet|On nous a attribué une place.
abweisen|rejeter, débouter|« eine Klage abweisen » — tribunaux|La demande a été rejetée.
anweisen|instruire, donner des instructions ; virer (de l'argent)|« jemanden anweisen » — hiérarchie|Le siège nous a dit d'attendre.
ausweisen|expulser (d'un pays) ; s'identifier (sich ausweisen) ; indiquer (des chiffres)|« können Sie sich ausweisen? » = vos papiers, s'il vous plaît|Il a dû présenter ses papiers.
nachweisen|prouver, attester documentairement|« Einkommen nachweisen » — démarches administratives|Il n'a rien pu prouver.
überweisen|virer (de l'argent) ; orienter (un patient)|verbe bancaire : « Geld überweisen » = virer de l'argent|Je te virerai l'argent demain.

=wenden|tourner
wenden|retourner ; s'adresser à quelqu'un (sich wenden an)|« bitte wenden » = tournez la page, tourner le rôti|Retourne le rôti.
verwenden|utiliser, employer|un peu plus soutenu que « benutzen »|Utilisez des produits frais.
anwenden|appliquer (une règle, une méthode)|« die Regel anwenden » — instructions et droit|On applique cette règle ici.
abwenden|prévenir (un malheur) ; détourner|« das Schlimmste abwenden » = éviter le pire|Le pire a pu être évité.
zuwenden|se tourner vers ; s'intéresser à quelque chose (sich zuwenden)|« sich neuen Aufgaben zuwenden » = s'attaquer à de nouvelles tâches|Il s'est tourné vers la caméra.
aufwenden|consacrer (du temps, de l'argent)|rapports de projet|Ça demande beaucoup d'argent.
einwenden|objecter|« dagegen ist nichts einzuwenden » = il n'y a rien à objecter|Il a objecté que c'était trop cher.
umwenden|retourner, tourner|uniquement au sens physique|Elle a tourné la page.

=drücken|presser, appuyer
drücken|appuyer, presser ; serrer dans les bras ; blesser (chaussure)|« wo drückt der Schuh? » = qu'est-ce qui te tracasse ?|Appuie sur le bouton rouge.
ausdrücken|exprimer ; écraser (une cigarette)|« wie soll ich es ausdrücken? » = comment dire ?|Il exprime bien ses idées.
unterdrücken|réprimer, opprimer|« ein Lachen unterdrücken » = réprimer un fou rire|Elle a réprimé un bâillement.
bedrücken|peser sur, tourmenter|« was bedrückt dich? » = qu'est-ce qui te tourmente ?|La situation me pèse.
eindrücken|enfoncer|« die Tür eindrücken » = enfoncer la porte|La bosse a été redressée.
wegdrücken|repousser ; refuser un appel|« den Anruf wegdrücken » — usage moderne|Il m'a repoussé.
zudrücken|presser, fermer|« ein Auge zudrücken » = fermer les yeux sur quelque chose|Bon, je vais fermer les yeux sur ça.
abdrücken|appuyer sur la détente ; comprimer|« jemandem die Luft abdrücken » = couper le souffle à quelqu'un|Il a appuyé sur la détente.

=decken|couvrir
decken|couvrir ; mettre (la table) ; couvrir (la demande)|« den Tisch decken » — corvée familiale|Le prix couvre les frais.
entdecken|découvrir|« ich habe ein Café entdeckt » — usage courant|Qui a découvert l'Amérique ?
aufdecken|dévoiler, révéler (un scandale)|journalisme d'investigation|La fraude a été dévoilée.
abdecken|couvrir, englober (un domaine) ; recouvrir|langage professionnel|Le cours couvre tous les sujets.
zudecken|couvrir, border|« das Kind zudecken » — avant de dormir|Je vais te border.
eindecken|s'approvisionner (sich eindecken mit) ; submerger quelqu'un|« sich mit Vorräten eindecken » = faire des réserves|On a fait des réserves d'eau.
überdecken|masquer, couvrir (odeur, son)|« den Geruch überdecken » = masquer l'odeur|Le bruit couvre la musique.

=fassen|saisir, contenir
fassen|saisir ; contenir ; arrêter (un criminel)|« ich kann es nicht fassen » = je n'arrive pas à y croire|La salle contient 200 personnes.
verfassen|rédiger, composer (un texte)|registre soutenu : « einen Text verfassen » = rédiger un texte|Elle a rédigé le rapport.
umfassen|englober, comprendre ; entourer|« das Paket umfasst drei Kurse » = le forfait comprend trois cours|Le cours dure dix heures.
erfassen|saisir, comprendre ; enregistrer (des données)|travail de bureau : « Daten erfassen » = saisir des données|Les chiffres sont enregistrés numériquement.
zusammenfassen|résumer|« lass mich kurz zusammenfassen » = laisse-moi résumer brièvement|Résumez, s'il vous plaît.
anfassen|toucher ; s'attaquer (à une tâche)|« nicht anfassen! » = ne pas toucher — dans les musées|Merci de ne toucher à rien.
auffassen|percevoir, interpréter comme|« falsch auffassen » = mal interpréter|Il l'a pris comme une critique.
abfassen|rédiger (un document)|paperasserie juridique|Le contrat est rédigé sèchement.
befassen|s'occuper de quelque chose (sich befassen mit)|« sich mit dem Thema befassen » = se pencher sur le sujet|La commission s'en occupe.

=reichen|suffire, tendre
reichen|suffire ; tendre, passer ; atteindre|« das reicht! » = ça suffit !|Passe-moi le sel, s'il te plaît.
erreichen|atteindre ; joindre quelqu'un|« ich erreiche ihn nicht » = je n'arrive pas à le joindre|Elle a atteint son objectif.
einreichen|déposer (une demande, des documents)|démarches administratives|J'ai déposé les documents.
ausreichen|être suffisant|« ausreichend » = suffisant, aussi la note de passage à l'école|Il n'y a pas assez de temps.
überreichen|remettre solennellement|« einen Preis überreichen » = remettre un prix|Le prix a été remis solennellement.
weiterreichen|transmettre|« die Kosten weiterreichen » = répercuter les coûts|Il transmet la plainte.
hinreichen|être suffisant ; tendre, passer|« hinreichend » = suffisant, dans les textes officiels|Les preuves ne sont pas suffisantes.

=richten|diriger, juger
richten|diriger, orienter ; préparer, arranger ; juger|« sich nach etwas richten » = se conformer à quelque chose|La critique s'adresse à tout le monde.
berichten|rapporter, faire un compte rendu|verbe journalistique : « es wird berichtet, dass… » = on rapporte que…|Il fait un reportage depuis Kiev.
einrichten|meubler, aménager ; créer, configurer ; s'installer (sich einrichten)|« eine Wohnung einrichten » = meubler un appartement ; « ein Konto einrichten » = ouvrir un compte|On réaménage le bureau.
ausrichten|aligner ; organiser (un événement) ; transmettre (un message)|« kann ich etwas ausrichten? » = je peux transmettre un message ?|C'est nous qui organisons le tournoi.
aufrichten|redresser ; réconforter|« sich aufrichten » — pour la posture comme pour le moral|Il s'est redressé dans son lit.
verrichten|accomplir, exécuter (une tâche)|officiel, un peu désuet|Elle exécute son travail avec soin.
hinrichten|exécuter (condamné à mort)|uniquement histoire et actualités|Il a été exécuté en 1943.
zurichten|préparer, apprêter ; abîmer, tabasser|« übel zugerichtet » = sévèrement amoché|La victime a été sévèrement tabassée.

=schaffen|réussir, créer
schaffen|réussir, y arriver ; créer|« ich hab's geschafft! » = j'y suis arrivé !|On va y arriver.
abschaffen|abolir, supprimer|« die Todesstrafe abschaffen » = abolir la peine de mort|La taxe a été supprimée.
anschaffen|acquérir (un achat important)|« sich ein Auto anschaffen » = s'acheter une voiture|On a pris un chien.
beschaffen|se procurer, approvisionner|services d'approvisionnement : « Material beschaffen » = se procurer du matériel|Il a trouvé les pièces détachées.
verschaffen|procurer, obtenir pour quelqu'un ; se donner (un avantage)|« sich einen Überblick verschaffen » = se faire une vue d'ensemble|Je t'obtiendrai un rendez-vous.
wegschaffen|évacuer, débarrasser|« den Schutt wegschaffen » = évacuer les gravats|On évacue les déchets.
herschaffen|apporter jusqu'ici|familier : « schaff das mal her » = apporte-moi ça|Comment va-t-on amener le piano jusqu'ici ?

=schieben|pousser
schieben|pousser, déplacer ; rejeter (sur quelqu'un)|« die Schuld auf andere schieben » = rejeter la faute sur d'autres|Il pousse le chariot.
verschieben|reporter (une date) ; déplacer|« den Termin verschieben » — vocabulaire d'agenda|On reporte la réunion.
aufschieben|remettre à plus tard, tergiverser|« nicht aufschieben! » — le rappel éternel|Je remets toujours ma déclaration d'impôts.
einschieben|insérer, caser|« einen Termin einschieben » = caser un rendez-vous|Je te caserai à trois heures.
abschieben|expulser ; se décharger de quelque chose sur quelqu'un|« jemanden abschieben » — actualités sur la migration|Il a été expulsé.
vorschieben|avancer, mettre en avant ; invoquer comme prétexte|« einen Vorwand vorschieben » = invoquer un prétexte|Il a invoqué le manque de temps.
zuschieben|pousser vers ; rejeter sur quelqu'un|« die Verantwortung zuschieben » = se renvoyer la responsabilité|Ils se rejettent mutuellement la faute.

=sitzen|être assis
sitzen|être assis ; aller (vêtement) ; faire mouche (remarque)|« der Spruch saß » = la remarque a fait mouche|La chemise tombe bien.
besitzen|posséder|« besitzen » pour les biens, « haben » pour tout le reste|Il possède deux appartements.
absitzen|purger (une peine)|« eine Strafe absitzen » = purger une peine|Il purge sa peine.
aufsitzen|monter (à cheval) ; se faire avoir par quelqu'un|« einem Betrüger aufsitzen » = se faire avoir par un escroc|Elle s'est laissé avoir par une rumeur.

=teilen|partager
teilen|diviser ; partager|« geteilte Meinung » = avis partagés ; et « partager » sur les réseaux sociaux|On habite dans la même chambre.
mitteilen|communiquer, informer|officiel : « wir teilen Ihnen mit, dass… » = nous vous informons par la présente que…|Il nous a communiqué sa décision.
verteilen|répartir, distribuer|« Flyer verteilen » = distribuer des prospectus|On répartit les tâches.
aufteilen|se répartir entre soi|« die Rechnung aufteilen » = partager l'addition|On partage le travail entre nous.
einteilen|répartir, organiser ; classer|« sich die Zeit einteilen » = gérer son temps|Gère bien tes forces.
zuteilen|attribuer, assigner|« Plätze zuteilen » — langage administratif|On nous a attribué une chambre.
abteilen|cloisonner, séparer|« einen Raum abteilen » = cloisonner une partie de la pièce|La pièce a été cloisonnée.
austeilen|distribuer|« Karten austeilen » = distribuer les cartes ; « Kritik austeilen » = distribuer des critiques|Le professeur distribue les copies.

=wechseln|changer
wechseln|changer (d'argent, de vêtements, de travail) ; échanger|« kannst du wechseln? » = tu as de la monnaie ?|Je change les pneus.
abwechseln|alterner, se relayer (sich abwechseln)|équipes de travail et tâches ménagères|On se relaie au volant.
einwechseln|faire entrer un remplaçant ; changer (une devise)|commentaire de football|Il est entré en jeu à la 70e minute.
auswechseln|remplacer, changer|« wie ausgewechselt » = complètement métamorphosé|Il faut changer la batterie.
umwechseln|changer (une devise)|« Euro in Dollar umwechseln » = changer des euros en dollars|Je change 200 euros.
verwechseln|confondre (l'un avec l'autre)|« ich verwechsle die beiden immer » = je les confonds toujours|Je t'ai confondu avec ton frère.

=wirken|agir, sembler
wirken|agir, opérer ; sembler, donner l'impression|« du wirkst müde » = tu as l'air fatigué|Le comprimé agit vite.
bewirken|provoquer, obtenir|« nichts bewirken » = ne rien obtenir|La manifestation n'a rien donné.
einwirken|agir sur, influencer (auf +A) ; pénétrer|« einwirken lassen » — sur une étiquette de shampooing|Laissez le produit agir un moment.
auswirken|avoir des répercussions (sich auswirken auf)|« das wirkt sich auf den Preis aus » = ça se répercute sur le prix|Ça a des répercussions négatives.
mitwirken|participer, collaborer|générique de film : « unter Mitwirkung von » = avec la participation de|Elle a participé au projet.
entgegenwirken|contrer, contrecarrer (+D)|langage politique : « der Inflation entgegenwirken » = lutter contre l'inflation|Il faut inverser cette tendance.

=zeichnen|dessiner
zeichnen|dessiner ; signer (officiellement)|« gezeichnet von der Krankheit » = marqué par la maladie|Elle aime dessiner des portraits.
bezeichnen|qualifier, désigner|« als Experte bezeichnet werden » = passer pour un expert|On le qualifie de génie.
unterzeichnen|signer (un contrat, un accord)|pendant officiel d'« unterschreiben »|Les deux pays ont signé l'accord.
aufzeichnen|enregistrer (une émission) ; esquisser|« eine Sendung aufzeichnen » = enregistrer une émission|L'interview a été enregistrée.
verzeichnen|constater, enregistrer (un changement, un chiffre)|statistiques|On constate une hausse des demandes.
auszeichnen|récompenser ; étiqueter les prix ; se distinguer (sich auszeichnen)|« ausgezeichnet! » = excellent !|Le film a reçu un prix.
kennzeichnen|marquer, indiquer ; caractériser|emballages|Le produit est clairement étiqueté.
abzeichnen|viser, parapher ; se dessiner (sich abzeichnen)|« eine Lösung zeichnet sich ab » = une solution se dessine|Un tournant se dessine.

=kennen|connaître
kennen|connaître|« kennen » pour les personnes et les lieux, « wissen » pour les faits|Tu le connais ?
erkennen|reconnaître ; prendre conscience de|« ich habe dich nicht erkannt » = je ne t'avais pas reconnu|Je reconnais la mélodie.
anerkennen|reconnaître officiellement|« einen Abschluss anerkennen » — démarches administratives|Le diplôme est reconnu ici.
verkennen|méconnaître, sous-estimer|« ein verkanntes Genie » = un génie méconnu|Tu te méprends sur la situation.
auskennen|s'y connaître, se repérer (sich auskennen)|« da kenne ich mich aus » = ça, je connais|Je ne me repère pas ici.
bekennen|avouer, professer (sich bekennen zu)|« Farbe bekennen » = jouer cartes sur table|Il a avoué sa faute.

=liegen|être allongé, se trouver
liegen|être allongé ; se trouver ; être dû à (an +D)|« das liegt an dir » = ça dépend de toi|Le village se trouve au bord du lac.
erliegen|succomber à (+D)|« einem Irrtum erliegen » — registre soutenu|Il est mort de ses blessures.
unterliegen|être soumis à ; perdre (un match)|« der Schweigepflicht unterliegen » = être tenu au secret professionnel|Les données sont soumises à la protection des données personnelles.
vorliegen|être disponible ; exister, être le cas|« es liegt ein Fehler vor » — rapports officiels|Les résultats sont disponibles.
anliegen|être à l'ordre du jour ; être bien ajusté|« was liegt heute an? » = qu'est-ce qui est prévu aujourd'hui ?|Rien d'urgent n'est prévu.
naheliegen|sembler évident, s'imposer|« das liegt nahe » = ça paraît évident|L'hypothèse semble évidente.
zurückliegen|remonter à, appartenir au passé ; être en retard|« das liegt Jahre zurück » = ça remonte à des années|L'accident remonte à longtemps.

=sagen|dire
sagen|dire|« sag mal… » = dis donc… — comme ça que commence la moitié des questions en allemand|Dis-moi la vérité.
absagen|annuler ; décliner|« ich muss leider absagen » — refus poli|Le concert a été annulé.
zusagen|accepter (une invitation) ; promettre ; plaire|« das sagt mir zu » = ça me convient|Il a fermement accepté.
aussagen|témoigner ; affirmer|tribunal : « als Zeuge aussagen » = témoigner comme témoin|Le témoin a témoigné au tribunal.
ansagen|annoncer ; annoncer (au jeu)|« Regen ist angesagt » = de la pluie est annoncée ; « angesagt » = à la mode|L'animateur annonce la chanson.
vorhersagen|prédire|météo et élections|Personne n'aurait pu le prédire.
untersagen|interdire|langage administratif : « das Rauchen ist untersagt » = fumer est interdit|Entrée interdite.
versagen|faillir, tomber en panne ; refuser quelque chose à quelqu'un|« die Bremsen versagten » = les freins ont lâché ; « ich habe versagt » = j'ai échoué|Il a échoué sur toute la ligne.
weitersagen|répéter, faire circuler|« nicht weitersagen! » = ne le répète à personne !|S'il te plaît, ne le répète pas.

=raten|conseiller, deviner
raten|conseiller (+D) ; deviner|« rate mal! » = devine !|Je te conseille d'attendre.
beraten|conseiller, se concerter|conseil professionnel : « sich beraten lassen » = se faire conseiller|Nous serons ravis de vous conseiller.
verraten|trahir ; révéler, dévoiler|« verrat mir dein Geheimnis » = révèle-moi ton secret|Ne dévoile pas la fin !
erraten|deviner|« du hast es erraten! » = tu as deviné !|Tu as deviné.
abraten|déconseiller (von +D)|« davon rate ich ab » — mise en garde professionnelle|Je ne vous le conseillerais pas.
geraten|se retrouver dans une situation ; réussir ; sombrer dans un état|« in Schwierigkeiten geraten » = se retrouver en difficulté|Le gâteau a réussi.

=spielen|jouer
spielen|jouer ; interpréter un rôle ; avoir de l'importance (eine Rolle spielen)|« das spielt keine Rolle » = ça n'a pas d'importance|On joue aux cartes.
abspielen|lire, jouer (un enregistrement) ; se dérouler (sich abspielen)|« was spielt sich hier ab? » = que se passe-t-il ici ?|La scène s'est déroulée de nuit.
vorspielen|jouer pour quelqu'un, passer une audition ; jouer la comédie|« jemandem etwas vorspielen » = jouer la comédie à quelqu'un|Elle joue la comédie devant nous.
mitspielen|jouer avec les autres ; coopérer|« wenn das Wetter mitspielt » = si le temps le permet|Je peux jouer avec vous ?
zuspielen|faire une passe ; transmettre discrètement (une information)|« Dokumente zuspielen » — journalisme|Il a transmis des documents à un journaliste.
verspielen|perdre au jeu ; gâcher, laisser passer|« seine Chance verspielen » = gâcher sa chance|Il a perdu la confiance.
anspielen|faire allusion (auf +A) ; faire une passe|« worauf spielst du an? » = à quoi fais-tu allusion ?|Il a fait allusion au scandale.
einspielen|rapporter (au box-office) ; se roder (sich einspielen)|« der Film hat Millionen eingespielt » = le film a rapporté des millions|L'équipe a trouvé ses automatismes.

=lösen|résoudre, détacher
lösen|résoudre ; desserrer ; acheter (un billet) ; dissoudre|« das Problem lösen » — et « eine Fahrkarte lösen » aux distributeurs|Il résout l'énigme.
auflösen|dissoudre ; dissoudre (une entreprise) ; résoudre (une énigme)|« die Firma auflösen » = dissoudre l'entreprise ; « der Nebel löst sich auf » = le brouillard se dissipe|Le comprimé se dissout dans l'eau.
erlösen|délivrer, sauver de la souffrance|« erlöst sein » = ressentir un soulagement|L'appel a été un soulagement.
ablösen|relever (à un poste) ; décoller|« jemanden ablösen » — travail posté|Qui te relève à six heures ?
einlösen|encaisser, échanger (un bon) ; tenir (une promesse)|« ein Versprechen einlösen » = tenir une promesse|J'échange le bon.
auslösen|déclencher, provoquer|« eine Debatte auslösen » = déclencher un débat|La panne a déclenché une alarme.

=treiben|pousser, se livrer à
treiben|pousser, mettre en mouvement ; pratiquer (un sport) ; dériver|« was treibst du so? » = qu'est-ce que tu fais dans la vie ?|Qu'est-ce que vous fabriquez ici ?
betreiben|gérer, exploiter ; se livrer à|« eine Website betreiben » = gérer un site web|Elle tient un café.
antreiben|actionner, mettre en mouvement ; pousser quelqu'un à agir|« was treibt dich an? » = qu'est-ce qui te motive ?|Le moteur actionne la pompe.
vertreiben|chasser ; vendre, distribuer|« die Zeit vertreiben » = tuer le temps|L'entreprise vend des logiciels.
übertreiben|exagérer, en faire trop|« jetzt übertreib mal nicht! » = n'exagère pas !|Tu exagères beaucoup.
vorantreiben|faire avancer, accélérer (un projet)|langage d'entreprise : « das Projekt vorantreiben » = faire avancer le projet|On fait avancer la réforme.
auftreiben|dénicher, se procurer|« kannst du zwei Karten auftreiben? » = tu peux dénicher deux billets ?|J'ai réussi à dénicher une chambre.

=binden|attacher
binden|attacher, nouer ; engager, lier|« vertraglich gebunden » = lié par contrat|Il attache ses lacets.
verbinden|relier ; panser (une blessure) ; mettre en relation (au téléphone)|« ich verbinde Sie » = je vous mets en relation|Qu'est-ce qui vous lie ?
einbinden|impliquer, associer ; relier (un livre)|« das Team einbinden » — langage managérial|On implique tous les services.
anbinden|attacher ; connecter (au réseau)|« gut angebunden » = bien desservi par les transports|L'endroit est mal desservi.
abbinden|garrotter ; détacher|médical : « die Wunde abbinden » = garrotter la blessure|La jambe a été garrottée.
unterbinden|empêcher, faire cesser|officiel : « den Missbrauch unterbinden » = mettre fin aux abus|La police a mis fin à la manifestation.
losbinden|détacher|uniquement au sens physique|Il a détaché le bateau.

=hören|entendre
hören|entendre ; écouter|« hör mal! » = écoute !|Tu entends ça aussi ?
gehören|appartenir (+D) ; relever de|« das gehört mir » = c'est à moi|À qui est ce sac ?
aufhören|arrêter, cesser|« hör auf! » = arrête !|Arrête de parler.
zuhören|écouter quelqu'un (+D)|« hör mir zu! » — à propos de l'attention, pas de l'ouïe|Il ne m'écoute jamais.
anhören|écouter ; sembler à l'oreille (sich anhören)|« das hört sich gut an » = ça sonne bien|Écoute donc ça !
erhören|exaucer (une prière)|littéraire et religieux|Sa prière a été exaucée.
verhören|interroger ; mal entendre (sich verhören)|« habe ich mich verhört? » = j'ai mal entendu ?|Le témoin a été interrogé.
überhören|ne pas entendre ; faire semblant de ne pas entendre|« das habe ich überhört » — avec une porte de sortie|Je vais faire comme si je n'avais pas entendu.
mithören|écouter aux portes, entendre en même temps|« hör nicht mit! » — vie privée|Les voisins entendent tout.

=wählen|choisir
wählen|choisir ; voter ; composer (un numéro)|« welche Partei wählst du? » = pour quel parti votes-tu ? ; « eine Nummer wählen » = composer un numéro|Choisissez une option.
auswählen|sélectionner, choisir|« wähl dir was aus » = choisis quelque chose|Sélectionnez trois photos.
abwählen|destituer par vote ; abandonner une matière|vie scolaire : « Mathe abwählen » = abandonner les maths|Le gouvernement n'a pas été réélu.
anwählen|composer (un numéro) ; sélectionner (une option)|technique : « eine Nummer anwählen » = composer un numéro|La ligne n'est pas composée.

=arbeiten|travailler
arbeiten|travailler|« ich arbeite bei… » — réponse standard sur son travail|Elle travaille dans une banque.
bearbeiten|traiter, modifier|« einen Antrag bearbeiten » — dans n'importe quel bureau|La demande est encore en traitement.
verarbeiten|transformer (matière, données) ; digérer (une nouvelle)|« das muss ich erst verarbeiten » = j'ai besoin de digérer ça d'abord|Il digère la nouvelle.
erarbeiten|élaborer ; gagner à force de travail|« sich etwas erarbeiten » = obtenir quelque chose à force de travail|On élabore le concept.
überarbeiten|réviser un texte ; se surmener (sich überarbeiten)|« überarbeitet sein » = être épuisé de travail|Je vais retravailler le texte encore une fois.
ausarbeiten|élaborer en détail|« einen Plan ausarbeiten » = élaborer un plan|Elle peaufine la proposition.
einarbeiten|former (un nouveau) ; se familiariser avec (sich einarbeiten)|« jemanden einarbeiten » — première semaine au travail|Je forme mon nouveau collègue.
mitarbeiten|collaborer, participer|« an einem Projekt mitarbeiten » = travailler sur un projet|Il collabore au livre.
zusammenarbeiten|travailler ensemble, collaborer|classique du langage professionnel : « gut zusammenarbeiten »|On collabore étroitement.
abarbeiten|expédier (une liste, une dette) ; s'épuiser au travail|« die Liste abarbeiten » = traiter la liste|Je traite mes tâches une par une.

=bauen|construire
bauen|construire ; compter sur (auf +A)|« auf jemanden bauen » = compter sur quelqu'un|Ils construisent une maison.
aufbauen|monter, mettre en place ; se fonder (auf +D)|« eine Firma aufbauen » et « jemanden aufbauen » = remonter le moral de quelqu'un|On monte la scène.
abbauen|démonter ; réduire (postes, stress) ; extraire (minerai)|« Stress abbauen » = évacuer le stress ; « Stellen abbauen » = supprimer des postes|L'entreprise supprime des postes.
einbauen|intégrer, installer ; insérer (dans un texte)|« eine Pause einbauen » = prévoir une pause|On installe un lave-vaisselle.
umbauen|transformer, réaménager|« den Dachboden umbauen » = réaménager le grenier|Ils transforment la maison.
ausbauen|agrandir, renforcer ; démonter (une pièce)|« seine Position ausbauen » = renforcer sa position|On creuse l'écart.
anbauen|adjoindre (une construction) ; cultiver|« Gemüse anbauen » — jardinage|Ils cultivent de la vigne.
verbauen|obstruer, gâcher ; utiliser dans une construction|« sich die Zukunft verbauen » = se gâcher l'avenir|Le nouvel immeuble nous a bouché la vue.
erbauen|édifier (registre soutenu) ; toucher, émouvoir|« nicht erbaut sein von » = ne pas être enchanté de quelque chose|L'église a été édifiée en 1750.
zusammenbauen|assembler, monter|le verbe des meubles en kit|Je monte une étagère.

=drehen|tourner
drehen|tourner ; tourner (un film)|« es dreht sich um… » = il s'agit de…|Il tourne la clé.
umdrehen|retourner, faire demi-tour|« dreh dich um! » = retourne-toi !|Tourne la page.
aufdrehen|monter (le son, l'eau) ; se déchaîner|« voll aufdrehen » = se donner à fond|Mets la musique plus fort !
zudrehen|fermer (un robinet) ; tourner le dos à|« jemandem den Rücken zudrehen » = tourner le dos à quelqu'un|Ferme le robinet.
abdrehen|éteindre ; virer ; finir de tourner (un film)|« der Pilot drehte ab » = le pilote a viré|L'avion a viré de côté.
andrehen|allumer ; refiler quelque chose à quelqu'un|« jemandem etwas andrehen » = refiler quelque chose à quelqu'un|Il m'a refilé une assurance.
verdrehen|tordre, déformer ; lever les yeux au ciel|« die Augen verdrehen » = lever les yeux au ciel|Il déforme mes propos.
durchdrehen|péter les plombs ; patiner (roues)|« ich dreh gleich durch! » = je vais péter un câble !|Il a complètement pété les plombs.
eindrehen|visser ; enrouler (les cheveux)|technique et coiffure|Elle visse une vis.

=fragen|demander
fragen|demander|« frag mal nach » = va donc demander|Je peux te demander quelque chose ?
nachfragen|se renseigner, redemander|« ich frage noch mal nach » — à propos d'une relance|Je vais me renseigner auprès de l'entreprise.
anfragen|faire une demande officielle|courrier professionnel : « wir fragen an, ob… » = nous demandons si…|On a envoyé une demande à l'hôtel.
befragen|interroger, sonder|« Passanten befragen » — sondages et police|La police a interrogé les témoins.
hinterfragen|remettre en question|registre académique et journalistique : « kritisch hinterfragen »|Ça mériterait d'être remis en question.
abfragen|interroger sur des connaissances apprises ; interroger (une base de données)|« Vokabeln abfragen » — vocabulaire scolaire|Interroge-moi sur le vocabulaire.
ausfragen|cuisiner quelqu'un, tirer les vers du nez|« er hat mich ausgefragt » — famille curieuse|Elle n'arrête pas de me cuisiner.
zurückfragen|redemander, poser une question en retour|« darf ich zurückfragen? » = puis-je vous poser une question en retour ?|Il a poliment redemandé.

=füllen|remplir
füllen|remplir|« gefüllte Paprika » — poivrons farcis|Il remplit le verre.
erfüllen|accomplir, remplir (une condition) ; emplir (un lieu)|« die Bedingungen erfüllen » = remplir les conditions|Le souhait s'est réalisé.
ausfüllen|remplir (un formulaire) ; occuper (le temps, l'espace)|« das Formular ausfüllen » — paperasse|Veuillez remplir le formulaire.
auffüllen|réapprovisionner, compléter|« das Lager auffüllen » = réapprovisionner le stock|Je complète le stock.
einfüllen|verser, remplir (un récipient)|« in Flaschen einfüllen » = mettre en bouteille|Il verse le vin dans les carafes.
abfüllen|mettre en bouteille, conditionner|production industrielle|Le lait est mis en bouteille.
nachfüllen|remplir à nouveau, rajouter|« Kaffee nachfüllen » = rajouter du café|Je te resers ?
überfüllen|surcharger, bonder|« überfüllt » = bondé, à propos des trains|Le train était bondé.

=hängen|être accroché, accrocher
hängen|être suspendu, pendre ; accrocher ; être attaché à (an +D)|« an jemandem hängen » = être attaché à quelqu'un|Le tableau est de travers.
abhängen|dépendre (von +D) ; décrocher ; larguer quelqu'un|« das hängt davon ab » = ça dépend|Ça dépend du temps.
aufhängen|accrocher, suspendre ; pendre (quelqu'un)|« die Wäsche aufhängen » = étendre le linge|Accroche ta veste.
anhängen|attacher, joindre ; imputer une faute à quelqu'un|« eine Datei anhängen » — courrier électronique|Je vais joindre le fichier.
zusammenhängen|être lié|« das hängt damit zusammen » = c'est lié à ça|Les deux choses sont étroitement liées.
aushängen|afficher (une annonce) ; décrocher (une porte)|« einen Aushang machen » = mettre une affiche|Le plan est affiché dans le couloir.
einhängen|raccrocher (à sa place) ; raccrocher (le téléphone, vieilli)|« den Hörer einhängen » = raccrocher le combiné|Elle a raccroché.
umhängen|suspendre autrement ; porter en bandoulière|« sich die Tasche umhängen » = mettre le sac en bandoulière|Je mets mon sac à dos sur l'épaule.

=heben|soulever
heben|soulever, lever|« die Stimmung heben » = remonter le moral|Il soulève la valise.
aufheben|ramasser ; conserver ; abolir (une règle)|« gut aufgehoben sein » = être entre de bonnes mains|Ramasse le mot.
abheben|retirer (de l'argent) ; décoller ; décrocher (le téléphone)|le verbe du distributeur automatique|Je retire 100 euros.
erheben|lever, prélever (des frais) ; se soulever (sich erheben)|« Gebühren erheben » — officiel|Aucun frais n'est prélevé.
