# Русский слой к verbs.txt. Немецкое не переводится: формы, управление и
# пример остаются как есть — их и учат.
#
# =корень|значение
# глагол|значение|как говорят|перевод примера

=nehmen|брать
zusammenfassen|подводить итог, резюмировать|«lass mich kurz zusammenfassen» = давай коротко подытожу|Резюмируйте, пожалуйста.
anfassen|трогать; браться (за задачу)|«nicht anfassen!» = руками не трогать — в музеях|Ничего, пожалуйста, не трогайте.
auffassen|воспринимать, понимать как|«falsch auffassen» = понять неправильно|Он воспринял это как критику.
abfassen|составлять (документ)|юридическое делопроизводство|Договор составлен сухо.
befassen|заниматься чем-л. (sich befassen mit)|«sich mit dem Thema befassen» = заняться темой|Комиссия этим занимается.

=reichen|хватать, подавать
reichen|хватать, быть достаточным; подавать; доставать|«das reicht!» = хватит!|Передай мне, пожалуйста, соль.
erreichen|достигать; дозвониться, застать|«ich erreiche ihn nicht» = я до него не могу дозвониться|Она достигла своей цели.
einreichen|подавать (заявление, документы)|«einen Antrag einreichen» — бюрократия|Я подал документы.
ausreichen|быть достаточным|«ausreichend» = достаточно, и заодно школьная тройка|Времени не хватает.
überreichen|вручать (торжественно)|«einen Preis überreichen» = вручить премию|Приз вручили торжественно.
weiterreichen|передавать дальше|«die Kosten weiterreichen» = переложить расходы дальше|Он передаёт жалобу дальше.
hinreichen|быть достаточным; подавать|«hinreichend» = достаточный, в официальных текстах|Доказательств недостаточно.

=richten|направлять, судить
richten|направлять, наводить; готовить, приводить в порядок; судить|«sich nach etwas richten» = ориентироваться на что-то|Критика адресована всем.
berichten|сообщать, рассказывать|глагол журналистики: «es wird berichtet, dass…» = сообщается, что…|Он ведёт репортаж из Киева.
einrichten|обставлять; создавать, настраивать; устраиваться (sich einrichten)|«eine Wohnung einrichten» = обставить квартиру; «ein Konto einrichten» = завести счёт|Мы заново обставляем офис.
ausrichten|выравнивать; проводить (мероприятие); передавать (сообщение)|«kann ich etwas ausrichten?» = что-нибудь передать?|Турнир проводим мы.
aufrichten|выпрямлять; ободрять|«sich aufrichten» — и про осанку, и про дух|Он сел в постели.
verrichten|исполнять, выполнять (обязанность)|официальное, слегка старомодное|Она выполняет работу аккуратно.
hinrichten|казнить|только новости и история|Его казнили в 1943 году.
zurichten|готовить, разделывать; изувечить|«übel zugerichtet» = сильно избитый|Пострадавшего сильно избили.

=schaffen|справляться, создавать
schaffen|справляться, успевать; создавать|«ich hab's geschafft!» = я справился!|Мы справимся.
abschaffen|отменять, упразднять|«die Todesstrafe abschaffen» = отменить смертную казнь|Сбор отменили.
anschaffen|приобретать (что-то серьёзное)|«sich ein Auto anschaffen» = обзавестись машиной|Мы завели собаку.
beschaffen|доставать, закупать|отделы снабжения: «Material beschaffen» = закупить материалы|Он достал запчасти.
verschaffen|доставать, устраивать кому-л.; получать (преимущество)|«sich einen Überblick verschaffen» = составить общее представление|Я устрою тебе приём.
wegschaffen|убирать, вывозить|«den Schutt wegschaffen» = вывезти мусор|Мы вывозим мусор.
herschaffen|доставить сюда|разговорное: «schaff das mal her» = притащи это сюда|Как мы сюда пианино доставим?

=schieben|толкать
schieben|толкать, двигать; сваливать (auf +A)|«die Schuld auf andere schieben» = сваливать вину на других|Он катит тележку.
verschieben|переносить (срок); сдвигать|«den Termin verschieben» — календарный немецкий|Мы переносим встречу.
aufschieben|откладывать, тянуть|«nicht aufschieben!» — вечное напоминание|Я всё откладываю налоговую декларацию.
einschieben|вставлять, втискивать|«einen Termin einschieben» = втиснуть встречу|Я втисну тебя в три.
abschieben|депортировать; спихивать на кого-л.|«jemanden abschieben» — новости о миграции|Его депортировали.
vorschieben|выдвигать вперёд; выставлять как предлог|«einen Vorwand vorschieben» = прикрыться предлогом|Он прикрылся нехваткой времени.
zuschieben|подвигать к; спихивать|«die Verantwortung zuschieben» = перекладывать ответственность|Они перекладывают вину друг на друга.

=sitzen|сидеть
sitzen|сидеть; сидеть (об одежде); попадать в цель (о реплике)|«der Spruch saß» = реплика попала в точку|Рубашка хорошо сидит.
besitzen|владеть, обладать|«besitzen» про имущество, «haben» про всё остальное|Ему принадлежат две квартиры.
absitzen|отсиживать (срок)|«eine Strafe absitzen» = отбывать наказание|Он отбывает срок.
aufsitzen|садиться (на лошадь); попасться на удочку (jemandem aufsitzen)|«einem Betrüger aufsitzen» = попасться мошеннику|Она попалась на слух.

=teilen|делить
teilen|делить; делиться|«geteilte Meinung» = мнения разделились; и «поделиться» в соцсетях|Мы живём в одной комнате.
mitteilen|сообщать, извещать|официальное: «wir teilen Ihnen mit, dass…» = настоящим сообщаем, что…|Он сообщил нам о решении.
verteilen|распределять, раздавать|«Flyer verteilen» = раздавать листовки|Мы распределяем задачи.
aufteilen|разделять между собой|«die Rechnung aufteilen» = разделить счёт|Мы делим работу между собой.
einteilen|распределять, планировать; классифицировать|«sich die Zeit einteilen» = рассчитывать силы|Рассчитывай силы.
zuteilen|выделять, назначать|«Plätze zuteilen» — административное|Нам выделили комнату.
abteilen|отгораживать|«einen Raum abteilen» = отгородить часть комнаты|Комнату отгородили.
austeilen|раздавать|«Karten austeilen» = раздавать карты; «Kritik austeilen» = раздавать критику|Учитель раздаёт работы.

=wechseln|менять
wechseln|менять (деньги, одежду, работу); обмениваться|«kannst du wechseln?» = разменяешь?|Я меняю шины.
abwechseln|чередоваться, сменять друг друга (sich abwechseln)|«wir wechseln uns ab» — смены и домашние дела|Мы ведём машину по очереди.
einwechseln|выпускать на замену; разменивать (валюту)|футбольный комментарий|Он вышел на замену на 70-й минуте.
auswechseln|заменять, менять|«wie ausgewechselt» = как подменили|Аккумулятор надо заменить.
umwechseln|обменивать (валюту)|«Euro in Dollar umwechseln» = обменять евро на доллары|Я меняю 200 евро.
verwechseln|путать (одно с другим)|«ich verwechsle die beiden immer» = я их вечно путаю|Я перепутал тебя с твоим братом.

=wirken|действовать
wirken|действовать, работать; казаться, производить впечатление|«du wirkst müde» = ты выглядишь усталым|Таблетка действует быстро.
bewirken|вызывать, добиваться|«nichts bewirken» = ничего не добиться|Протест ничего не дал.
einwirken|воздействовать (auf +A); впитываться|«einwirken lassen» — с этикетки шампуня|Дайте средству немного впитаться.
auswirken|сказываться (sich auswirken auf)|«das wirkt sich auf den Preis aus» = это отражается на цене|Это сказывается негативно.
mitwirken|участвовать, содействовать|титры фильма: «unter Mitwirkung von» = при участии|Она участвовала в проекте.
entgegenwirken|противодействовать (+D)|язык политики: «der Inflation entgegenwirken» = сдерживать инфляцию|Нам нужно переломить тенденцию.

=zeichnen|рисовать
zeichnen|рисовать; подписывать (официально)|«gezeichnet von der Krankheit» = измождённый болезнью|Она любит рисовать портреты.
bezeichnen|называть, обозначать|«als Experte bezeichnet werden» = слыть экспертом|Его называют гением.
unterzeichnen|подписывать (договор, соглашение)|официальный двойник «unterschreiben»|Обе страны подписали договор.
aufzeichnen|записывать (эфир); набрасывать|«eine Sendung aufzeichnen» = записать передачу|Интервью записали.
verzeichnen|фиксировать, отмечать (изменение, цифру)|«einen Anstieg verzeichnen» — статистика|Мы отмечаем рост числа запросов.
auszeichnen|награждать; проставлять цены; выделяться (sich auszeichnen)|«ausgezeichnet!» = отлично!|Фильм получил награду.
kennzeichnen|маркировать; характеризовать|«gekennzeichnet mit» — упаковка|Товар чётко маркирован.
abzeichnen|визировать; вырисовываться (sich abzeichnen)|«eine Lösung zeichnet sich ab» = решение вырисовывается|Намечается перелом.

=kennen|знать, быть знакомым
kennen|знать, быть знакомым|«kennen» про людей и места, «wissen» про факты|Ты его знаешь?
erkennen|узнавать; осознавать|«ich habe dich nicht erkannt» = я тебя не узнал|Я узнаю мелодию.
anerkennen|признавать официально|«einen Abschluss anerkennen» — бумажные дела|Диплом здесь признают.
verkennen|недооценивать, не разглядеть|«ein verkanntes Genie» = непризнанный гений|Ты неверно оцениваешь ситуацию.
auskennen|разбираться, ориентироваться (sich auskennen)|«da kenne ich mich aus» = вот в этом я разбираюсь|Я здесь не ориентируюсь.
bekennen|признаваться, исповедовать (sich bekennen zu)|«Farbe bekennen» = раскрыть карты|Он признал вину.

=liegen|лежать, находиться
liegen|лежать; находиться; быть причиной (an +D)|«das liegt an dir» = это зависит от тебя|Деревня лежит у озера.
erliegen|поддаваться, погибать от (+D)|«einem Irrtum erliegen» — официальное|Он умер от полученных травм.
unterliegen|подчиняться, подпадать под; проигрывать (матч)|«der Schweigepflicht unterliegen» = быть связанным тайной|Данные подпадают под защиту персональных данных.
vorliegen|иметься в наличии; иметь место|«es liegt ein Fehler vor» — официальные заключения|Результаты получены.
anliegen|предстоять, быть на повестке; плотно прилегать|«was liegt heute an?» = что сегодня на повестке?|Ничего срочного нет.
naheliegen|напрашиваться, быть очевидным|«das liegt nahe» = это напрашивается|Предположение напрашивается само.
zurückliegen|быть в прошлом; отставать|«das liegt Jahre zurück» = это было много лет назад|Авария была давно.

=sagen|говорить
sagen|говорить, сказать|«sag mal…» = слушай… — так начинается половина немецких вопросов|Скажи мне правду.
absagen|отменять; отказываться|«ich muss leider absagen» — вежливый отказ|Концерт отменили.
zusagen|соглашаться (на приглашение); обещать; нравиться|«das sagt mir zu» = мне это подходит|Он твёрдо согласился.
aussagen|давать показания; утверждать|суд: «als Zeuge aussagen» = давать показания как свидетель|Свидетель дал показания в суде.
ansagen|объявлять; заказывать (в игре)|«Regen ist angesagt» = обещают дождь; «angesagt» = в моде|Ведущий объявляет песню.
vorhersagen|предсказывать|погода и выборы|Этого нельзя было предсказать.
untersagen|запрещать|канцелярское: «das Rauchen ist untersagt» = курение запрещено|Вход запрещён.
versagen|отказывать, ломаться; отказать кому-л. в чём-л.|«die Bremsen versagten» = отказали тормоза; «ich habe versagt» = я не справился|Он провалился по всем статьям.
weitersagen|передавать дальше, рассказывать другим|«nicht weitersagen!» = никому не говори|Пожалуйста, не рассказывай дальше.

=raten|советовать, угадывать
raten|советовать (+D); угадывать|«rate mal!» = угадай|Советую тебе подождать.
beraten|консультировать, советоваться|профессиональная консультация: «sich beraten lassen» = получить консультацию|Мы охотно вас проконсультируем.
verraten|предавать; выдавать, раскрывать|«verrat mir dein Geheimnis» = открой мне свой секрет|Не выдавай концовку!
erraten|угадать|«du hast es erraten!» = угадал!|Ты угадал.
abraten|отговаривать (von +D)|«davon rate ich ab» — профессиональное предостережение|Я бы вам этого не советовал.
geraten|попадать куда-л.; удаваться; впадать (в состояние)|«in Schwierigkeiten geraten» = попасть в неприятности|Пирог удался.

=spielen|играть
spielen|играть; исполнять роль; иметь значение (eine Rolle spielen)|«das spielt keine Rolle» = это не важно|Мы играем в карты.
abspielen|проигрывать (запись); происходить (sich abspielen)|«was spielt sich hier ab?» = что здесь происходит?|Сцена произошла ночью.
vorspielen|играть кому-л., проходить прослушивание; разыгрывать|«jemandem etwas vorspielen» = ломать комедию|Она перед нами играет.
mitspielen|играть вместе; подыгрывать, не подводить|«wenn das Wetter mitspielt» = если погода не подведёт|Можно мне с вами?
zuspielen|пасовать; сливать (информацию)|«Dokumente zuspielen» — журналистика|Он слил документы журналисту.
verspielen|проигрывать, упускать|«seine Chance verspielen» = упустить свой шанс|Он потерял доверие.
anspielen|намекать (auf +A); пасовать|«worauf spielst du an?» = на что ты намекаешь?|Он намекнул на скандал.
einspielen|собирать (кассу); срабатываться (sich einspielen)|«der Film hat Millionen eingespielt» = фильм собрал миллионы|Команда сыгралась.

=lösen|решать, освобождать
lösen|решать; ослаблять; покупать (билет); растворять|«das Problem lösen» — и «eine Fahrkarte lösen» у автоматов|Он решает загадку.
auflösen|растворять; распускать; разрешать (загадку)|«die Firma auflösen» = ликвидировать фирму; «der Nebel löst sich auf» = туман рассеивается|Таблетка растворяется в воде.
erlösen|избавлять, освобождать от страданий|«erlöst sein» = почувствовать облегчение|Звонок стал избавлением.
ablösen|сменять (на посту); отклеивать|«jemanden ablösen» — сменная работа|Кто сменяет тебя в шесть?
einlösen|отоваривать (купон); сдерживать (обещание)|«ein Versprechen einlösen» = сдержать обещание|Я отовариваю купон.
auslösen|вызывать, запускать|«eine Debatte auslösen» = вызвать дискуссию|Неисправность вызвала сигнал тревоги.

=treiben|гнать, двигать
treiben|гнать, приводить в движение; заниматься (спортом); дрейфовать|«was treibst du so?» = чем занимаешься?|Чем это вы тут занимаетесь?
betreiben|вести (дело), эксплуатировать; заниматься|«eine Website betreiben» = вести сайт|Она держит кафе.
antreiben|приводить в движение; подгонять|«was treibt dich an?» = что тобой движет?|Мотор приводит насос в движение.
vertreiben|изгонять; продавать, распространять|«die Zeit vertreiben» = коротать время|Фирма продаёт программное обеспечение.
übertreiben|преувеличивать, перегибать|«jetzt übertreib mal nicht!» = не преувеличивай|Ты сильно преувеличиваешь.
vorantreiben|продвигать, форсировать (проект)|деловая речь: «das Projekt vorantreiben» = двигать проект|Мы продвигаем реформу.
auftreiben|раздобыть|«kannst du zwei Karten auftreiben?» = раздобудешь два билета?|Мне удалось раздобыть номер.

=binden|связывать
binden|связывать, завязывать; связывать обязательством|«vertraglich gebunden» = связанный договором|Он завязывает шнурки.
verbinden|соединять; перевязывать; соединять (по телефону)|«ich verbinde Sie» = соединяю|Что вас связывает?
einbinden|вовлекать, подключать; переплетать (книгу)|«das Team einbinden» — менеджерская речь|Мы подключаем все отделы.
anbinden|привязывать; подключать (к сети)|«gut angebunden» = с хорошей транспортной доступностью|Место плохо связано с транспортом.
abbinden|перетягивать (жгутом); отвязывать|медицинское: «die Wunde abbinden» = перетянуть рану|Ногу перетянули жгутом.
unterbinden|пресекать, не допускать|официальное: «den Missbrauch unterbinden» = пресечь злоупотребления|Полиция пресекла акцию.
losbinden|отвязывать|только физически|Он отвязал лодку.

=hören|слышать
hören|слышать; слушать|«hör mal!» = слушай|Ты тоже это слышишь?
gehören|принадлежать (+D); относиться к|«das gehört mir» = это моё|Чья это сумка?
aufhören|прекращать, переставать|«hör auf!» = прекрати|Перестань разговаривать.
zuhören|слушать кого-л. (+D)|«hör mir zu!» — про внимание, а не про слух|Он меня никогда не слушает.
anhören|слушать; звучать (sich anhören)|«das hört sich gut an» = звучит неплохо|Послушай-ка вот это!
erhören|услышать (мольбу), внять|книжное и религиозное|Её молитва была услышана.
verhören|допрашивать; ослышаться (sich verhören)|«habe ich mich verhört?» = я не ослышался?|Свидетеля допросили.
überhören|не расслышать; намеренно пропустить мимо ушей|«das habe ich überhört» — с возможностью отпереться|Сделаю вид, что не слышал.
mithören|подслушивать, слышать заодно|«hör nicht mit!» — про личное пространство|Соседи слышат всё.

=wählen|выбирать
wählen|выбирать; голосовать; набирать (номер)|«welche Partei wählst du?» = за какую партию голосуешь?; «eine Nummer wählen» = набрать номер|Выберите вариант.
auswählen|отбирать, выбирать|«wähl dir was aus» = выбирай|Выберите три фотографии.
abwählen|отправлять в отставку голосованием; отказаться от предмета|«Mathe abwählen» — школьная жизнь|Правительство не переизбрали.
anwählen|набирать (номер); выбирать (пункт)|техническое: «eine Nummer anwählen» = набрать номер|Линия не набрана.

=arbeiten|работать
arbeiten|работать|«ich arbeite bei…» — стандартный ответ про работу|Она работает в банке.
bearbeiten|обрабатывать, редактировать|«einen Antrag bearbeiten» — в любом офисе|Заявление ещё обрабатывается.
verarbeiten|перерабатывать (материал, данные); переваривать (новость)|«das muss ich erst verarbeiten» = мне нужно это переварить|Он переваривает новость.
erarbeiten|разрабатывать; зарабатывать трудом|«sich etwas erarbeiten» = добиться своим трудом|Мы разрабатываем концепцию.
überarbeiten|перерабатывать текст; переутомляться (sich überarbeiten)|«überarbeitet sein» = выгореть|Я ещё раз переработаю текст.
ausarbeiten|детально прорабатывать|«einen Plan ausarbeiten» = проработать план|Она прорабатывает предложение.
einarbeiten|вводить в курс дела; осваиваться (sich einarbeiten)|«jemanden einarbeiten» — первая неделя на работе|Я ввожу в курс дела нового коллегу.
mitarbeiten|участвовать, сотрудничать|«an einem Projekt mitarbeiten» = работать над проектом|Он участвует в работе над книгой.
zusammenarbeiten|работать вместе, сотрудничать|«gut zusammenarbeiten» — деловая классика|Мы тесно сотрудничаем.
abarbeiten|отрабатывать (долг, список); выматываться|«die Liste abarbeiten» = пройти по списку|Я разгребаю задачи.

=bauen|строить
bauen|строить; полагаться (auf +A)|«auf jemanden bauen» = положиться на кого-то|Они строят дом.
aufbauen|собирать, выстраивать; основываться (auf +D)|«eine Firma aufbauen» и «jemanden aufbauen» = поддержать|Мы собираем сцену.
abbauen|разбирать; сокращать (места, стресс); добывать|«Stress abbauen» = снимать стресс; «Stellen abbauen» = сокращать штат|Фирма сокращает рабочие места.
einbauen|встраивать; вставлять (в текст)|«eine Pause einbauen» = заложить паузу|Мы встраиваем посудомоечную машину.
umbauen|перестраивать, переделывать|«den Dachboden umbauen» = переделать чердак|Они перестраивают дом.
ausbauen|расширять, наращивать; демонтировать (деталь)|«seine Position ausbauen» = укреплять позиции|Мы наращиваем отрыв.
anbauen|пристраивать; выращивать (культуру)|«Gemüse anbauen» — огородное|Они выращивают виноград.
verbauen|загораживать, портить; израсходовать на стройку|«sich die Zukunft verbauen» = испортить себе будущее|Новостройка загородила нам вид.
erbauen|возводить (офиц.); умилять|«nicht erbaut sein von» = быть не в восторге от|Церковь построили в 1750 году.
zusammenbauen|собирать, свинчивать|глагол мебели из коробки|Я собираю полку.

=drehen|вертеть
drehen|вертеть, поворачивать; снимать (фильм)|«es dreht sich um…» = речь идёт о…|Он поворачивает ключ.
umdrehen|переворачивать, разворачивать|«dreh dich um!» = обернись|Переверни страницу.
aufdrehen|прибавлять (звук, воду); расходиться|«voll aufdrehen» = выложиться по полной|Сделай музыку погромче!
zudrehen|закрывать (кран); отворачиваться от|«jemandem den Rücken zudrehen» = повернуться к кому-то спиной|Закрой кран.
abdrehen|выключать; сворачивать в сторону; заканчивать съёмки|«der Pilot drehte ab» = пилот отвернул|Самолёт отвернул в сторону.
andrehen|включать; впаривать|«jemandem etwas andrehen» = впарить что-то|Он впарил мне страховку.
verdrehen|перекручивать, искажать; закатывать (глаза)|«die Augen verdrehen» = закатить глаза|Он перевирает мои слова.
durchdrehen|психовать, срываться; буксовать (о колёсах)|«ich dreh gleich durch!» = я сейчас с ума сойду|Он совсем слетел с катушек.
eindrehen|вкручивать; накручивать (волосы)|техника и парикмахерская|Она вкручивает шуруп.

=fragen|спрашивать
fragen|спрашивать|«frag mal nach» = сходи спроси|Можно тебя спросить?
nachfragen|уточнять, переспрашивать|«ich frage noch mal nach» — про напоминание|Я уточню в фирме.
anfragen|направлять запрос|деловое письмо: «wir fragen an, ob…» = мы запрашиваем, возможно ли…|Мы отправили запрос в отель.
befragen|опрашивать, допрашивать|«Passanten befragen» — опросы и полиция|Полиция опросила свидетелей.
hinterfragen|критически осмысливать, ставить под вопрос|«kritisch hinterfragen» — академическое и журналистское|Это стоило бы поставить под вопрос.
abfragen|спрашивать по выученному; делать запрос (к базе)|«Vokabeln abfragen» — школа|Погоняй меня по словам.
ausfragen|выпытывать, допытываться|«er hat mich ausgefragt» — любопытные родственники|Она меня постоянно допытывает.
zurückfragen|переспрашивать, задавать встречный вопрос|«darf ich zurückfragen?» = можно встречный вопрос?|Он вежливо переспросил.

=füllen|наполнять
füllen|наполнять|«gefüllte Paprika» — фаршированный перец|Он наполняет стакан.
erfüllen|исполнять, выполнять (условие); наполнять (помещение)|«die Bedingungen erfüllen» = выполнять условия|Желание исполнилось.
ausfüllen|заполнять (бланк); заполнять (время, пространство)|«das Formular ausfüllen» — бюрократия|Заполните, пожалуйста, бланк.
auffüllen|пополнять, доливать|«das Lager auffüllen» = пополнить склад|Я пополняю запас.
einfüllen|наливать, засыпать во что-л.|«in Flaschen einfüllen» = разливать по бутылкам|Он разливает вино по графинам.
abfüllen|разливать, фасовать|«Wasser abfüllen» — производство|Молоко разливают.
nachfüllen|доливать, досыпать|«Kaffee nachfüllen» = подлить кофе|Тебе долить?
überfüllen|переполнять|«überfüllt» = набитый битком, о поездах|Поезд был переполнен.

=hängen|висеть, вешать
hängen|висеть, вешать; быть привязанным (an +D)|«an jemandem hängen» = быть привязанным к кому-то|Картина висит криво.
abhängen|зависеть (von +D); снимать с крючка; оторваться от кого-л.|«das hängt davon ab» = смотря по обстоятельствам|Это зависит от погоды.
aufhängen|вешать; вешать (человека)|«die Wäsche aufhängen» = развешивать бельё|Повесь куртку.
anhängen|прикреплять, прилагать; вешать на кого-л. (вину)|«eine Datei anhängen» — электронная почта|Я приложу файл.
zusammenhängen|быть связанным|«das hängt damit zusammen» = это с этим связано|Одно тесно связано с другим.
aushängen|вывешивать (объявление); снимать с петель|«einen Aushang machen» = вывесить объявление|План вывешен в коридоре.
einhängen|вешать на место; класть трубку (устар.)|«den Hörer einhängen» = положить трубку|Она положила трубку.
umhängen|перевешивать; вешать через плечо|«sich die Tasche umhängen» = повесить сумку через плечо|Я вешаю рюкзак на плечо.

=heben|поднимать
heben|поднимать|«die Stimmung heben» = поднять настроение|Он поднимает чемодан.
aufheben|поднимать (с земли); хранить; отменять (правило)|«gut aufgehoben sein» = быть в надёжных руках|Подними записку.
abheben|снимать (деньги); взлетать; снимать трубку|«Geld abheben» — глагол банкомата|Я снимаю 100 евро.
erheben|поднимать, взимать (сбор); подниматься (sich erheben)|«Gebühren erheben» — официальное|Плата не взимается.
hervorheben|подчёркивать, выделять|«besonders hervorheben» = особо отметить|Он отметил её заслугу.
anheben|немного повышать (цены, зарплаты)|«die Preise anheben» — деловые новости|Зарплаты повышают.
ausheben|выкапывать; накрывать (банду)|«eine Bande ausheben» — полиция|Полиция накрыла группировку.
verheben|надорваться, поднимая (sich verheben)|«ich habe mich verhoben» = я сорвал спину|Я сорвал спину на переезде.

=kaufen|покупать
kaufen|покупать|«dafür kann ich mir nichts kaufen» = мне от этого ни холодно ни жарко|Я покупаю новый велосипед.
verkaufen|продавать|«sich gut verkaufen» = хорошо продаваться, или уметь себя подать|Он продаёт машину.
einkaufen|закупаться, делать покупки; входить в долю (sich einkaufen)|«einkaufen gehen» = идти за покупками|Я быстро сбегаю за покупками.
abkaufen|покупать у кого-л.; верить кому-л.|«das kauf ich dir nicht ab» = не верю|Я куплю у тебя велосипед.
aufkaufen|скупать|«Grundstücke aufkaufen» — деловые новости|Концерн скупает фирму.
ankaufen|закупать, принимать (в торговле)|язык скупок: «Gold ankaufen» = скупка золота|Мы принимаем лом золота.
zukaufen|докупать, закупать на стороне|корпоративные закупки|Детали закупают на стороне.
freikaufen|выкупать; откупаться (sich freikaufen)|«sich freikaufen» = откупиться|Он откупился.

=leiten|вести, руководить
leiten|руководить, возглавлять; проводить (тепло, ток)|«eine Abteilung leiten» — оргструктура|Она руководит проектом.
ableiten|выводить (следствие); отводить (воду)|«daraus lässt sich ableiten, dass…» = отсюда следует, что…|Слово происходит из латыни.
einleiten|начинать, возбуждать (дело); вводить (текст)|«Maßnahmen einleiten» — принятие официальных мер|Дело возбудили.
weiterleiten|пересылать, передавать дальше|«die Mail weiterleiten» — ежедневный офисный глагол|Я перешлю запрос.
umleiten|перенаправлять, пускать в объезд|«der Verkehr wird umgeleitet» = движение пускают в объезд|Дорогу пустили в объезд.
begleiten|сопровождать; аккомпанировать|«jemanden begleiten» — и в жизни, и в музыке|Можно я пойду с вами?
verleiten|подталкивать, склонять к чему-л.|«zum Kauf verleiten» — реклама|Это ведёт к ошибкам.
anleiten|инструктировать, направлять|«Auszubildende anleiten» = обучать учеников|Он инструктирует стажёров.
überleiten|переходить (к теме)|презентации: «zum nächsten Punkt überleiten» = перейти к следующему пункту|Она перешла к выводам.

=ordnen|упорядочивать
ordnen|приводить в порядок, сортировать|«seine Gedanken ordnen» = привести мысли в порядок|Я разбираю бумаги.
einordnen|классифицировать; подшивать; перестраиваться в ряд|«sich einordnen» — и на дороге, и в коллективе|Как ты это классифицируешь?
anordnen|распоряжаться, предписывать; располагать|«der Arzt hat Ruhe angeordnet» = врач предписал покой|Начальник распорядился о сверхурочных.
zuordnen|относить к, соотносить|«einer Kategorie zuordnen» = отнести к категории|Я не могу определить, откуда эта картина.
unterordnen|подчинять; подчиняться (sich unterordnen)|«sich unterordnen können» — собеседования|Он не любит подчиняться.
verordnen|предписывать, назначать|«der Arzt verordnet Ruhe» = врач назначает покой|Ему прописали постельный режим.
umordnen|переставлять, переупорядочивать|«die Möbel umordnen» = переставить мебель|Мы переставляем полки.

=passen|подходить
passen|подходить (по размеру); устраивать; пасовать|«das passt mir gut» = мне это подходит|Дата мне не подходит.
anpassen|приспосабливать; приспосабливаться (sich anpassen)|«sich anpassen» — слово и про интеграцию, и про офис|Мы корректируем цены.
aufpassen|быть внимательным; присматривать|«pass auf!» = осторожно! и «auf die Kinder aufpassen»|Береги себя!
verpassen|пропускать (поезд, шанс); влепить кому-л. что-л.|«den Zug verpassen» = опоздать на поезд; «eine Strafe verpassen» = влепить штраф|Я опоздал на автобус.
einpassen|подгонять по месту|столярное: «ein Brett einpassen» = подогнать доску|Деталь подогнана точно.
abpassen|подкараулить, поймать момент|«den richtigen Moment abpassen» = поймать нужный момент|Я подкараулил его у выхода.

=rechnen|считать
rechnen|считать, вычислять; рассчитывать (mit +D)|«damit habe ich nicht gerechnet» = вот этого я не ожидал|Я готовлюсь к худшему.
berechnen|рассчитывать, вычислять; выставлять счёт|«wir berechnen Ihnen nichts» = мы с вас ничего не возьмём|Цена считается автоматически.
verrechnen|зачитывать, засчитывать; просчитаться (sich verrechnen)|«ich habe mich verrechnet» = я просчитался|Это зачтётся в счёт аренды.
anrechnen|засчитывать; ставить в заслугу|«das rechne ich dir hoch an» = я это очень ценю|Практика засчитывается.
ausrechnen|высчитывать, подсчитывать|«rechne dir das mal aus!» = сам посчитай|Я подсчитаю расходы.
abrechnen|подводить расчёты, выставлять счёт; сводить счёты|«mit jemandem abrechnen» = свести счёты|Мы рассчитываемся в конце месяца.
einrechnen|учитывать в расчёте|«die Pause ist eingerechnet» = перерыв учтён|Налог уже учтён.
nachrechnen|пересчитывать, проверять расчёт|«rechne mal nach!» = пересчитай|Пересчитайте, пожалуйста, ещё раз.
hochrechnen|экстраполировать, прогнозировать|лексика выборной ночи|Цифры экстраполируют.

=reden|разговаривать
reden|разговаривать, говорить|«reden» разговорнее, чем «sprechen»: «wir müssen reden» = нам надо поговорить|Поговорим об этом позже.
überreden|уговаривать|«lass dich nicht überreden!» = не поддавайся на уговоры|Он меня уговорил.
verabreden|договариваться (о времени); условиться о встрече (sich verabreden)|«ich bin verabredet» = у меня встреча|Мы договорились на пятницу.
einreden|внушать; убеждать себя|«rede dir nichts ein!» = не выдумывай|Он себе это просто внушил.
ausreden|договорить; отговаривать|«lass mich ausreden!» = дай договорить|Я отговариваю его от этой затеи.
mitreden|участвовать в разговоре, иметь право голоса|«da kann ich mitreden» = вот тут мне есть что сказать|В этой теме мне есть что сказать.
nachreden|повторять за кем-л.; злословить|«jemandem etwas nachreden» = говорить о ком-то за спиной|О нём злословят.
zureden|уговаривать, подбадривать (+D)|«gut zureden» = мягко уговаривать|Мне пришлось долго её уговаривать.

=schalten|переключать
schalten|переключать; переключать передачу; соображать|«er schaltet schnell» = он быстро соображает|Он переключается на третью.
einschalten|включать; подключать кого-л. (sich einschalten)|«den Anwalt einschalten» = подключить адвоката|Включите, пожалуйста, свет.
ausschalten|выключать; устранять (конкурента)|«die Konkurrenz ausschalten» = устранить конкурентов|Не забудь выключить плиту.
umschalten|переключаться (на другой канал, режим)|«auf ein anderes Programm umschalten» = переключить канал|Можешь переключить канал?
abschalten|отключать; отключаться (мысленно)|«ich muss mal abschalten» = мне надо отключиться|Электростанцию останавливают.
anschalten|включать (прибор)|разговорный двойник «einschalten»|Включи телевизор.
zuschalten|подключать (линию, студию)|эфир: «wir schalten Berlin zu» = переключаемся на Берлин|Мы подключаем корреспондента.
